model,bin_number,m_X_d_goal,sem_X_d_goal,m_X_n_A,sem_X_n_A,m_X_diff,sem_X_diff,m_X_rt,sem_X_rt,m_X_AO_size,sem_X_AO_size,m_X_first_move,sem_X_first_move,m_y_d_goal,sem_y_d_goal,m_y_p_in_tree,sem_y_p_in_tree,m_y_p_undo,sem_y_p_undo,m_y_p_same_car,sem_y_p_same_car,m_y_d_tree,sem_y_d_tree,m_y_d_tree_ranked,sem_y_d_tree_ranked,m_y_p_worse,sem_y_p_worse,m_y_p_same,sem_y_p_same,m_y_p_better,sem_y_p_better,m_y_p_in_tree_better,sem_y_p_in_tree_better,m_h_d_tree,sem_h_d_tree,m_h_d_tree_diff,sem_h_d_tree_diff,m_h_d_tree_ranked,sem_h_d_tree_ranked
data,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.230612393786545,0.43272382695217715,0.8259822246358487,0.02296428702114674,0.05995849578342745,0.01217939510349517,0.07769133167716362,0.013763282936894758,4.18743371281932,0.09687542539178469,1.8214731773624575,0.0514324601421359,0.19756998285960942,0.024080607511827414,0.2894757028598379,0.031066675373554797,0.5129543142805526,0.03672311570480197,0.6183795663146213,0.03698283565450328,4.18743371281932,0.09687542539178469,1.0436834853857602,0.07536528620610254,1.8214731773624575,0.0514324601421359
random_model,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.657049034596724,0.3971225648132964,0.6318903683760697,0.019376334041572626,0.10206613793018046,0.004809823614999858,0.20511332165917323,0.009154406494841281,4.45947027557982,0.08293609259716318,1.949331164140606,0.04558690907805074,0.3191474385071672,0.015404811871608314,0.4727574323749025,0.01366079118651727,0.20809512911793054,0.010204636169669793,0.36534298690174805,0.019143465532470493,4.487852268320084,0.11512176626865092,1.2977048921774055,0.08824133024486687,2.0136366462483872,0.06427629509853791
optimal_model,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,8.545996725207488,0.39761029003369786,1.0,0.0,0.08547976774422858,0.01332807998660057,0.11857230119112713,0.016393286236962925,4.448025632314558,0.0932624977080627,1.9359482789322278,0.06955176584650032,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.427603488869773,0.10048896186572073,1.2073318023245387,0.09249190167774463,1.9275812653078948,0.07349542366505672
gamma_only_model,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.415142612055442,0.4243045866320227,0.8408355259780471,0.013439254845978308,0.04798707217840827,0.00425242137789774,0.09650280892095708,0.007388597574632892,4.132678044744229,0.08870687381952336,1.7159783067280585,0.03423701493938902,0.2587498788759024,0.016412407860006598,0.35164612909615045,0.014516603125652686,0.3896039920279474,0.021013431654026443,0.47102204858920105,0.023539565166351438,4.128060884954844,0.10546023137683706,0.9429800363616913,0.07204659997158662,1.7401812535596715,0.05351752692991346
gamma_0_model,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.382054401031265,0.42453794933637784,0.8577084457240403,0.012187482012194868,0.04009626535219035,0.003731541325060705,0.07947880075390532,0.00653076979351987,4.175497102512281,0.08728714184596081,1.7462464649453637,0.03657727296130049,0.2438595054033219,0.016180589113962515,0.3483386650171337,0.013364735304727352,0.40780182957954436,0.019370600375636777,0.48481327672865016,0.022968818209288585,4.187412166331559,0.0992962700107018,0.9709318057268476,0.07330097478349684,1.7668637611626472,0.05836836628282794
gamma_no_same_model,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.504411238337351,0.4197641322475978,0.8413574183560801,0.013661866396260575,0.14044386791219485,0.007124787721771464,0.2332378516757064,0.010228706778488385,4.105864639539613,0.08757019806409477,1.6965366203932273,0.030772920898405463,0.3083428938051699,0.016275787716721685,0.34172872551952305,0.015137650305618816,0.349928380675307,0.017926404650436264,0.425171121238329,0.022408174256854405,4.0563248766897635,0.09486735398148473,0.8806995036829024,0.05850071651947526,1.6949205848839342,0.047279534400397935
eureka_model,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.09233676974831,0.414631488774861,0.8195211894155199,0.01419900447438411,0.09144807446542333,0.007702897880029963,0.15724554048151956,0.011500504837974249,4.4611932534757495,0.08509046905375887,1.9444725858396779,0.057007718098117874,0.15638893368793677,0.012844061655664029,0.23356217716494823,0.017560616297171715,0.6100488891471152,0.027369280106033494,0.7520726043472097,0.024424932003985447,4.4817479854857165,0.10808820107425829,1.2635192767881758,0.09623960378416442,1.9730856600170832,0.07106848917225848
forward_search,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.210888804314013,0.4446398232363803,0.7588514053569162,0.018173198950889632,0.08109745669023903,0.007533095579019117,0.14722404164597824,0.013190145439529595,4.531717416224358,0.07938247407902221,1.998516228034731,0.05741157877062806,0.14348396362308274,0.029096565981819547,0.3779241518603599,0.017499010070425352,0.47859188451655726,0.04283570627438452,0.63609265414569,0.045367363156781235,4.563611463775859,0.09435755288698441,1.3386397305236053,0.09068660313388657,2.02799498969864,0.07247361803311819
opt_rand_model,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.152116349317737,0.4180024398977826,0.8009414319989568,0.013332070277770709,0.0927999046803173,0.007215015275564709,0.1634740652486303,0.010378791351199002,4.462930019057948,0.08498168724834505,1.946499521957988,0.05593253067225321,0.1738416825862343,0.01183765627560922,0.25843625893778,0.016012106492460737,0.5677220584759857,0.024054087798333006,0.7197382993459398,0.023267694391890123,4.462352137715717,0.1054744201947232,1.2513073994380333,0.08858443600799397,1.9689889159048584,0.06352752473175768
hill_climbing_model,6,8.545996725207488,0.39761029003369786,9.945352767295676,0.2623365081341674,10.817877973568372,0.39530863985719555,2160.3412490067603,285.25400714887974,65.46291901475504,4.328056449997654,0.06396740537390473,0.025589575351281636,9.624612742321789,0.39958551799374803,0.6585876585145285,0.020450633102690706,0.11289432847152454,0.007532223296307987,0.2087512531706602,0.011449481200973242,4.25561824019924,0.09675054337389793,1.8156581195847026,0.037477221513388934,0.30915720154399906,0.01634511258193353,0.46030161402630176,0.014634870074004063,0.23054118442969912,0.013856666188899733,0.38075706992711433,0.01879401200270002,4.2587071190565675,0.126818342528505,1.1191384969104106,0.07858472614854863,1.8788532636265436,0.06081401352659901
