subject,model,nll,cv_nll,params
A18T3WK7J16C1B:3IJXV6UZ1YR1KY4G6BFEG1DXR47RIC,gamma_0_model,3266.8080691095615,3268.10634208972,[0.4402051807255154]
A18T3WK7J16C1B:3IJXV6UZ1YR1KY4G6BFEG1DXR47RIC,gamma_no_same_model,3404.900275952253,3405.3558744495167,[0.11997508619423208]
A18T3WK7J16C1B:3IJXV6UZ1YR1KY4G6BFEG1DXR47RIC,eureka_model,3363.9754463203963,3374.10711787139,"[11.973193486401327, 0.4770504583612572]"
A18T3WK7J16C1B:3IJXV6UZ1YR1KY4G6BFEG1DXR47RIC,forward_search,3347.1163709712587,3358.1043108285376,"[1.1038203065206171, 2.08122156e8]"
A18T3WK7J16C1B:3IJXV6UZ1YR1KY4G6BFEG1DXR47RIC,opt_rand_model,3429.7483737764596,3430.4532135108198,[0.6140074103220433]
A18T3WK7J16C1B:3IJXV6UZ1YR1KY4G6BFEG1DXR47RIC,hill_climbing_model,3727.986891753258,3732.4139389178326,"[0.20017957659109387, -1.026448021012757, -0.03451244667817319]"
A18T3WK7J16C1B:3IJXV6UZ1YR1KY4G6BFEG1DXR47RIC,random_model,3896.3207319524163,3896.320731952373,[0.3819660112501051]
A1ZTSCPETU3UJW:3XC1O3LBOTUGQEPEV3HM8W67X4RTLL,gamma_only_model,1345.2721396412549,1347.253819745209,[0.06972959633799487]
A1ZTSCPETU3UJW:3XC1O3LBOTUGQEPEV3HM8W67X4RTLL,gamma_0_model,1346.094759973074,1347.9158597102928,[0.3641019753541792]
A1ZTSCPETU3UJW:3XC1O3LBOTUGQEPEV3HM8W67X4RTLL,gamma_no_same_model,1421.1735605200856,1421.6141106043117,[0.10897818756393228]
A1ZTSCPETU3UJW:3XC1O3LBOTUGQEPEV3HM8W67X4RTLL,eureka_model,1362.467294727886,1369.2286462460347,"[12.976799247329103, 0.4543209772154494]"
A1ZTSCPETU3UJW:3XC1O3LBOTUGQEPEV3HM8W67X4RTLL,forward_search,1353.915730992485,1361.2854791411487,"[1.0748779904000458, 2.566902715e9]"
A1ZTSCPETU3UJW:3XC1O3LBOTUGQEPEV3HM8W67X4RTLL,opt_rand_model,1377.3845981017596,1380.0028247841713,[0.5037924577742358]
