subj,prb,L,opt_L,branch,indegree,outdegree,n_sol,paths,ss_size,av_width,max_width,min_width,depth,mean_random,std_random
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb44171_16,67,4.134805012124556,5.648010024218936,5.126191604854411,3.8585263573138864,0.14408497137480794,0.011256443614293425,0.7387590583283786,0.5200748598153458,2.2931320495139156,0.36815303757127826,4.265986510179144,1.2018205781849618,1.023814316710646
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb23404_14,56,3.5441185818210474,5.496827763015345,5.04852203508389,3.3858293961614723,0.11629715546680927,0.012119406014378262,0.32405200890076885,0.22807517627645885,0.4586264099027831,0.19281007624627164,4.265986510179144,1.8566814217466021,1.4751949480943054
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb54081_11,26,2.6580889363657856,4.954557964428183,6.941717798240349,3.3345289507650864,0.9025894278264754,0.16296204993595786,0.8519453223779723,0.5476165643724618,2.2931320495139156,0.37755840714426714,4.653803465649975,0.22187954826134182,0.19567725794958413
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb58853_16,26,4.134805012124556,3.9442070893650287,4.200629231755698,2.028199751921402,0.04528384814636821,6.976854568974743e-5,0.18992496063591074,0.08504037966802645,0.22931320495139154,0.06718121123563472,6.592888243004132,2.800413781066084,2.5505996856702433
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb29232_7,14,1.4767160757587698,6.5307473522383,5.553374238592279,3.9706544736802725,1.6652105977459946,6.652511099213187,1.759290947300125,1.1823403903635286,2.522445254465307,1.646611487385407,4.459894987914559,0.07342946974946414,0.04956068437409447
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb10206_7,10,1.4767160757587698,7.322804893357806,8.021540566855514,4.463138749485577,0.2964033696853192,0.061902650186619355,0.8694401547603451,1.0711554386641833,3.439698074270873,0.7685530565356612,2.5208102105604033,0.08832417220019674,0.08183292980053908
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb34551_14,22,3.5441185818210474,5.353126210177307,5.21680610292002,3.7128697355634337,0.16261018198014038,0.009914584497677991,0.5897879098602951,0.48437978824180017,2.98107166436809,0.31575169280748316,3.6842610769728967,1.374265397743122,1.6071725034558448
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb19279_14,49,3.5441185818210474,6.2900253550209975,4.810119605649373,3.975784518219911,0.07924673425614437,0.0014957055335065392,1.1228501510868358,0.8737298902359278,2.7517584594166986,0.8814174914115275,3.8781695547083124,0.4120274990151541,0.3121117040635624
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb55384_14,44,3.5441185818210474,3.284630193276936,4.038817628067112,1.6929146980807361,0.022641924073184105,4.3859352751564525e-5,0.03286907902142768,0.030253322916990386,0.22931320495139154,0.030231545056035623,3.296444121502066,0.2387073250429929,0.18059440104607374
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb11647_7,8,1.4767160757587698,6.646487427763332,6.478936611690993,4.155336077107262,0.01852521060533245,0.0012426252142508898,0.4662637903120265,0.4594912246113044,0.22931320495139154,0.38494834038018694,3.1025356437666503,0.4672933646741014,0.46366230658261137
