subj,prb,L,opt_L,branch,indegree,outdegree,n_sol,paths,ss_size,av_width,min_width,max_width,depth,mag_nodes,mean_random,std_random,exp_bfs,exp_red,exp_forest
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb44171_16,67,4.134805012124556,5.548815180776254,5.735221886088632,3.406536798158166,0.14528748205464925,0.01279977514073358,0.8350605657221074,0.5571226551937806,2.748884174223228,0.4314343427837559,4.167681891863435,10.390530645174936,1.402558097839219,1.2390804669474795,0.9540608889300689,1.1256509553741136,1.151598150642961
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb23404_14,56,3.5441185818210474,5.235338081159029,4.959504513469105,3.592149380109091,0.1172677533726812,0.007784539704487434,0.3691127193642057,0.23447453064592974,0.458147362370538,0.2301517776560185,4.376065986456607,9.091714314528069,1.4193782570175806,1.2987918789190558,0.43138766439661924,0.4215223891413666,0.5097656079577428
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb54081_11,26,2.6580889363657856,5.206426477645002,7.046629329554021,3.2354820657720182,0.17953381711038802,0.42341518970656333,0.6438315334236322,0.5368957361821156,0.458147362370538,0.4474727941883565,3.3341455134907476,10.390530645174936,0.22577225138679544,0.18500156458449418,0.604132908405552,0.5886037438406625,0.2552018062366673
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb58853_16,26,4.134805012124556,3.8503092948178312,4.056620358452935,2.06357517580735,0.04566178007431834,0.00017784522823567896,0.22898659442038688,0.09254113688965156,0.229073681185269,0.08019225702300296,6.876675121574667,10.390530645174936,2.7340957681300706,2.6050898410337098,0.12393282643576643,0.1489410933319438,0.1984194043490088
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb29232_7,14,1.4767160757587698,5.822929726044898,7.273939953088021,2.659719115485029,1.6791081854601608,2.7955643865133437,1.9088726126202684,1.1578831295609888,2.519810493037959,1.7554085062335347,4.584450081049778,9.091714314528069,0.0792159557344754,0.057189781471733966,0.08748199513112924,0.02195926376047889,0.01020807224946669
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb10206_7,10,1.4767160757587698,7.439046401646842,8.183182447224024,4.432865192475049,0.29887710594099276,0.12153180703791006,0.8752593495329358,1.0617219624231644,3.436105217779035,0.9125878849217737,2.292225040524889,9.091714314528069,0.08660327694688365,0.07806340272615658,0.5046062907563686,0.04439590282009863,0.01722612192097504
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb34551_14,22,3.5441185818210474,5.135552423866545,5.455454964816016,3.7258996229854935,0.1639673011759613,0.006402428216484443,0.6057484750765316,0.4754164430629647,2.977957855408497,0.3608651566035133,3.5425296080839193,9.091714314528069,1.4936638013847745,1.6135308690862895,0.6209319871807326,0.46735041785888776,0.5212496892383929
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb19279_14,49,3.5441185818210474,6.165348153615049,4.945728112042803,3.915379133727064,0.07990811513005709,0.003381599982595553,1.3633409392036822,0.9575170534324626,2.748884174223228,1.052122412141799,3.959297797270263,9.091714314528069,0.44058183168699067,0.33636487325729403,2.0501215380729856,1.7042298179328184,1.0233592430090357
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb55384_14,44,3.5441185818210474,2.988227708148409,3.967603610775284,1.681431624731915,0.02283089003715917,0.0001524387670591534,0.038408554572289484,0.03190151656202204,0.229073681185269,0.03448267051989127,3.3341455134907476,10.390530645174936,0.23987316439268808,0.18290679485494654,0.03740172255606251,0.04009952512783102,0.03509024835754175
A1F4N58CAX8IMK:3TS1AR6UQRM7SOIBWPBN8N9589Y7FV,prb11647_7,8,1.4767160757587698,6.723614859004623,6.364697458952018,4.1271503516147,0.010377677289617804,0.0032774334917717984,0.4122409692017342,0.4999590866385442,0.916294724741076,0.45950163274180694,2.292225040524889,7.792897983881202,0.4683524977035656,0.45553824434426565,0.3832091743244031,0.09690718572559164,0.01020807224946669
